_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
64a5d9a573193c702ebeda05||70.35|90.82|75.15|73.28|88,3,1,0|time|15|-1|3|15.01|0|14.23|false|false|english|none|normal|false|false|false||1688590757000
64a5d98073193c702ebed91e||65.6|88.42|70.4|75.09|82,3,0,0|time|15|-1|5|15|0|11.81|false|false|english|none|normal|false|false|false||1688590720000
64a5d1c573193c702eb163c2||73.55|88.57|79.95|68.27|92,5,1,0|time|15|-1|1|15.01|0|1.27|false|false|english|none|normal|false|false|false||1688588741000
64a5d0d973193c702eb15d6c||69.51|91.35|81.49|76.17|87,3,3,0|time|15|-1|0|15.02|0|0|false|false|english|none|normal|false|false|false||1688588505000
64a5d0c873193c702eb15cee||75.95|95.19|80.75|72.91|95,0,1,0|time|15|-1|1|15.01|0|4.7|false|false|english|none|normal|false|false|false||1688588488000
64a5d0b073193c702eb15c35||59.96|85.71|76.75|79.13|75,4,1,0|time|15|-1|1|15.01|0|1.27|false|false|english|none|normal|false|false|false||1688588464000
64a5d07573193c702eb15a94||78.3|94.34|82.29|69.23|98,3,0,0|time|15|-1|1|15.02|0|1.17|false|false|english|none|normal|false|false|false||1688588405000
64a5cf0773193c702eaaad67||77.55|93.27|80.75|72.91|97,4,0,0|time|15|-1|9|15.01|0|13.73|false|false|english|none|normal|false|false|false||1688588039000
64a5cec373193c702eaaab74||85.54|96.49|89.54|78.62|107,1,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1688587971000
64a5cd1073193c702eaaa02a||78.3|93.33|78.3|72.9|98,0,0,0|time|15|-1|0|15.02|0|0|false|false|english|none|normal|false|false|false||1688587536000
64a5cbd773193c702ea7463a||74.3|96.04|79.09|71.07|93,1,0,0|time|15|-1|1|15.02|0|1.07|false|false|english|none|normal|false|false|false||1688587222000
64a5ca6973193c702ea3ea2f||56.72|86.75|57.52|56.83|71,1,0,0|time|15|-1|0|15.02|0|0|false|false|english|none|normal|false|false|false||1688586857000
64a5ca5873193c702ea3e9c6||80.8|95.5|88|73.06|101,3,0,0|time|15|-1|3|15|0|2.97|false|false|english|none|normal|false|false|false||1688586840000
64a5ca4073193c702ea3e938||86.4|98.18|86.4|82.28|108,0,0,0|time|15|-1|1|15|0|5.9|false|false|english|none|normal|false|false|false||1688586816000
64a5ca2973193c702ea3e88d||72.7|96.84|72.7|63.7|91,0,0,0|time|15|-1|2|15.02|0|3.97|false|false|english|none|normal|false|false|false||1688586793000
64a5ca1273193c702ea3e7f6||71.95|93.94|75.95|65.99|90,2,0,0|time|15|-1|8|15.01|0|32.84|false|false|english|none|normal|false|false|false||1688586770000
64a5c9d573193c702ea3e681||77.55|90.65|82.35|77.18|97,5,1,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1688586709000
64a5c9c573193c702ea3e60e||76.75|96.97|76.75|74.17|96,0,0,0|time|15|-1|6|15.01|0|18.86|false|false|english|none|normal|false|false|false||1688586693000
64a5c99873193c702ea3e4d7||79.95|97.12|79.95|73.42|100,0,0,0|time|15|-1|1|15.01|0|0.87|false|false|english|none|normal|false|false|false||1688586648000
64a5c98573193c702ea3e445||73.6|90.38|80.8|77.99|92,4,1,0|time|15|-1|4|15|0|5.07|false|false|english|none|normal|false|false|false||1688586629000
64a5c90073193c702ea3e098||68.75|91.92|75.95|70.31|86,4,0,0|time|15|-1|1|15.01|0|1.86|false|false|english|none|normal|false|false|false||1688586496000
64a5c8ec73193c702ea3e028||68.8|93.33|83.2|77.87|86,4,0,0|time|15|-1|4|15|0|10.09|false|false|english|none|normal|false|false|false||1688586476000
64a5c84373193c702ea08a0f|true|89.54|99.12|89.54|87.3|112,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1688586307000
64a5c83273193c702e9d3811||85.54|99.07|85.54|76.11|107,0,0,0|time|15|-1|3|15.01|0|16.29|false|false|english|none|normal|false|false|false||1688586290000
64a5c7fe73193c702e9d36a2||77.55|97|77.55|74.51|97,0,0,0|time|15|-1|5|15.01|0|8.51|false|false|english|none|normal|false|false|false||1688586238000
64a5c6e473193c702e9d2ed2||80.75|95.5|87.14|75.43|101,2,0,0|time|15|-1|1|15.01|0|2.15|false|false|english|none|normal|false|false|false||1688585956000
64a5c5a973193c702e9d25c1||80.8|96.3|84.8|80.89|101,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1688585641000
64a5c59873193c702e9d2546||72|92.93|76.8|74.17|90,4,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1688585624000
64a5c58873193c702e9d24c9||81.6|97.17|84|74.97|102,2,0,0|time|15|-1|2|15|0|4.83|false|false|english|none|normal|false|false|false||1688585608000
64a5c57073193c702e9d240b||79.15|91.82|83.14|72.88|99,2,0,0|time|15|-1|2|15.01|0|5.88|false|false|english|none|normal|false|false|false||1688585584000
64a5c51173193c702e9d215c||87.03|100|87.03|72.72|109,0,0,0|time|15|-1|5|15.03|0|15.9|false|false|english|none|normal|false|false|false||1688585489000
64a5c4da73193c702e9d1fc0||80|95.28|82.4|78.4|100,2,0,0|time|15|-1|1|15|0|4.71|false|false|english|none|normal|false|false|false||1688585433000
64a5c4c273193c702e99cd90||84.74|97.25|84.74|67.26|106,0,0,0|time|15|-1|1|15.01|0|9.23|false|false|english|none|normal|false|false|false||1688585409000
64a5c49c73193c702e967afc||80.37|99.01|80.37|77.21|201,0,0,0|time|30|-1|4|30.01|0|20.17|false|false|english|none|normal|false|false|false||1688585372000
64a5c45c73193c702e9678f8||77.97|97.06|79.57|75.87|195,2,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688585308000
64a5c43d73193c702e9677fe||70.38|92.78|72.38|71.56|176,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688585277000
64a5c41c73193c702e96771c||64.36|90.32|68.35|60.64|161,0,1,1|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688585244000
64a5c3fc73193c702e96761b||59.1|91.18|64.29|65.51|148,4,0,0|time|30|-1|0|30.05|0|0|false|false|english|none|normal|false|false|false||1688585212000
64a5c3db73193c702e967512||75.17|95.5|76.77|68.46|188,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688585179000
64a5c3bc73193c702e967420||75.57|93.2|77.57|67.28|189,2,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688585148000
64a5c39b73193c702e967326||72.4|93.47|72.4|70.49|181,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1688585115000
64a5c36073193c702e96717c||75.97|95.54|76.37|67.26|190,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688585056000
64a5c12173193c702e8fbeca||76.75|95.65|79.95|75.94|192,2,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688584481000
64a5c0f673193c702e8fbda6||72.38|92.68|78.37|71.96|181,6,0,1|time|30|-1|2|30.01|0|18.32|false|false|english|none|normal|false|false|false||1688584438000
64a5c0b273193c702e8fbbe0||64.38|95.29|64.38|66.73|161,0,0,0|time|30|-1|0|30.01|1|0|false|false|english|none|normal|false|false|false||1688584370000
64a5c09273193c702e8fbb05||68.78|90.72|71.18|74.21|172,2,0,0|time|30|-1|4|30.01|0|33.47|false|false|english|none|normal|false|false|false||1688584338000
64a5b32273193c702e74cf31||78.8|96.57|78.8|75.28|197,0,0,0|time|30|-1|1|30|0|0.19|false|false|english|none|normal|false|false|false||1688580898000
64a5b2fc73193c702e74ce09||83.97|97.67|84.37|78.36|210,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688580859000
64a5925773193c702e380d29||73.58|93.53|78.77|72.71|184,7,1,0|time|30|-1|1|30.01|0|19.02|false|false|english|none|normal|false|false|false||1688572503000
64a5922273193c702e380b65||73.98|93.94|74.38|68.32|185,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688572450000
64a5918e73193c702e38063a||67.2|94.94|67.2|63.36|168,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1688572302000
64a5916e73193c702e380524||71.58|95.79|73.98|71.37|179,1,1,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688572270000
64a5914e73193c702e380412||59.98|87.29|66.38|62.59|150,7,1,1|time|30|-1|7|30.01|0|20.32|false|false|english|none|normal|false|false|false||1688572238000
64a5906c73193c702e37fcba||65.98|92.93|69.58|65.36|165,1,1,0|time|30|-1|1|30.01|0|4.18|false|false|english|none|normal|false|false|false||1688572012000
64a5904673193c702e37fb8b||79.57|96.14|79.57|73.71|199,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688571974000
64a5902573193c702e34a921|true|83.97|97.27|86.37|77.92|210,2,0,0|time|30|-1|3|30.01|0|8.33|false|false|english|none|normal|false|false|false||1688571940000
64a58f6573193c702e315120|true|81.57|99.03|81.57|76.6|204,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688571749000
64a56faa73193c702ef476de||69.95|93.4|75.95|79.69|175,5,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688563626000
64a56ee873193c702ef47052||69.11|95.14|71.5|72.2|173,2,0,0|time|30|-1|0|30.04|0|0|false|false|english|none|normal|false|false|false||1688563432000
64a56ec873193c702ef46f3b||69.95|95.21|72.35|65.55|175,1,0,0|time|30|-1|1|30.02|0|13.45|false|false|english|none|normal|false|false|false||1688563400000
64a485de73193c702e391726||63.98|93.71|65.98|62.18|160,0,0,1|time|30|-1|4|30.01|0|41.96|false|false|english|none|normal|false|false|false||1688503774000
64a4857f73193c702e3914eb||68.35|90.36|73.95|72.85|171,5,1,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688503679000
64a4855873193c702e39141e||72.38|95.85|73.58|72.87|181,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688503640000
64a4852573193c702e3912fe||65.58|91.24|75.97|74.52|164,8,1,0|time|30|-1|1|30.01|0|2.74|false|false|english|none|normal|false|false|false||1688503589000
64a4850273193c702e391242||69.11|93.68|70.71|72.55|173,1,0,0|time|30|-1|4|30.04|0|57.79|false|false|english|none|normal|false|false|false||1688503554000
64a483e573193c702e326aa7||73.18|94.9|76.77|71.58|183,4,0,0|time|30|-1|8|30.01|0|61.3|false|false|english|none|normal|false|false|false||1688503269000
64a47de673193c702e2ba718||68.75|92.82|73.95|69.82|172,4,0,1|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688501734000
64a47c2473193c702e24fb18||64.78|93.99|70.38|65.53|162,1,2,0|time|30|-1|1|30.01|0|3.73|false|false|english|none|normal|false|false|false||1688501284000
64a47bff73193c702e24fa3e||71.18|93.85|73.98|67.55|178,2,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688501247000
64a47bb373193c702e24f865||59.16|91.81|62.36|62.89|148,3,0,0|time|30|-1|1|30.02|0|0.93|false|false|english|none|normal|false|false|false||1688501171000
64a47b9073193c702e24f790||69.18|96.7|71.18|70.23|173,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688501136000
64a479b173193c702e1e4a00||71.98|95.9|73.98|72.55|180,2,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688500657000
64a477e873193c702e1e3e4c||63.18|93.53|63.18|60.21|158,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688500200000
64a4776d73193c702e1e3b02||65.11|93.99|67.91|72.13|163,1,0,0|time|30|-1|0|30.04|0|0|false|false|english|none|normal|false|false|false||1688500077000
64a4774e73193c702e1e3a23||67.95|94.68|73.55|72.38|170,4,0,0|time|30|-1|2|30.02|0|3.6|false|false|english|none|normal|false|false|false||1688500046000
64a2dfc573193c702e126b29||65.18|92.35|68.78|69.67|163,4,0,1|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688395717000
64a2dfa573193c702e126a0b||73.95|95.88|74.35|69.67|185,1,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688395685000
64a2df0373193c702e0f1423||70.38|92.96|74.78|74.93|176,3,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688395523000
64a2dee373193c702e0bc301||65.56|88.72|73.55|69.3|164,9,1,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688395491000
64a2dec073193c702e0bc1a1||67.2|90.31|71.2|69.72|168,2,0,0|time|30|-1|1|30|0|7.26|false|false|english|none|normal|false|false|false||1688395456000
64a2dc7573193c702e0bab71||66.38|92.59|71.98|70.12|166,4,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688394869000
64a2dc5573193c702e0baa47||62.76|91.33|63.16|61.32|157,1,0,0|time|30|-1|4|30.02|0|36.12|false|false|english|none|normal|false|false|false||1688394837000
64a2dae373193c702e04fd0c||74|95.96|76.4|76.66|185,0,1,0|time|30|-1|1|30|0|1.68|false|false|english|none|normal|false|false|false||1688394467000
64a2d8bf73193c702e04e8f5||75.52|97.45|77.52|76.05|189,2,0,0|time|30|-1|0|30.03|0|0|false|false|english|none|normal|false|false|false||1688393919000
64a2d89c73193c702e04e799||62.59|92.37|65.99|68.19|313,4,1,1|time|60|-1|1|60.01|0|0.79|false|false|english|none|normal|false|false|false||1688393884000
64a057d973193c702e3acb81||63.98|92.39|66.58|63.85|320,3,1,0|time|60|-1|2|60.02|0|17.05|false|false|english|none|normal|false|false|false||1688229849000
64a0578673193c702e3ac940||65.99|91.48|67.39|64.55|330,4,1,0|time|60|-1|1|60.01|0|1.62|false|false|english|none|normal|false|false|false||1688229766000
64a0573573193c702e3ac6e0|true|87.14|99.1|87.14|83.78|109,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1688229685000
64a056ee73193c702e3ac4cd||75.15|98.95|75.15|75.77|94,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1688229614000
64a056de73193c702e3ac43e||78.35|95.24|81.55|77.26|98,2,0,0|time|15|-1|3|15.01|0|10.38|false|false|english|none|normal|false|false|false||1688229598000
64a0568f73193c702e3ac225||71.18|96.74|71.18|73.8|178,0,0,0|time|30|-1|2|30.01|0|6.26|false|false|english|none|normal|false|false|false||1688229519000
64a0566573193c702e3ac0e3||65.18|91.16|67.58|62.34|163,3,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688229477000
64a0564573193c702e3abffc||71.55|94.74|73.95|69.4|179,6,0,0|time|30|-1|1|30.02|0|24.74|false|false|english|none|normal|false|false|false||1688229445000
64a0509473193c702e2d5c1e||68.78|97.18|68.78|77.97|172,0,0,0|time|30|-1|2|30.01|0|6.39|false|false|english|none|normal|false|false|false||1688227988000
64a04f1a73193c702e2d51b1||69.98|95.7|70.78|66.07|175,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1688227610000
649f89ced221ff18916dbbe7||71.55|95.98|78.35|72.35|179,3,0,0|time|30|-1|2|30.02|0|24.72|false|false|english|none|normal|false|false|false||1688177102000
649f898ed221ff18916dba9e||75.55|98.44|75.55|75.26|189,0,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688177038000
649f891bd221ff18916db8ae||61.96|93.18|67.55|68.66|155,4,0,0|time|30|-1|0|30.02|0|0|false|false|english|none|normal|false|false|false||1688176923000
